ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Warda Raju,38,5,2,4,M
2,2,Kevin Ram,68,3,5,1,M
3,3,Pallavi Ratti,71,3,2,5,M
4,4,Mahika Bhatti,22,9,4,5,F
5,5,Nihal Taneja,26,1,6,2,F
6,6,Adya Bose,48,5,4,5,M
7,7,Jhalak Dugar,42,4,6,4,F
8,8,Advik Konda,60,3,7,3,F
9,9,Nandini Biswas,72,9,4,4,M
10,10,Nimrat Bajwa,71,10,3,5,M
11,11,Kashish Shanker,32,2,6,1,M
12,12,Ikbal Dugal,59,1,7,3,F
13,13,Darika Sheth,25,4,4,5,M
14,14,Abha Ghosh,20,9,2,4,M
15,15,David Kapadia,27,4,2,2,M
16,16,Anthony Bhattacharyya,35,7,6,4,M
17,17,Ayushman Raja,54,7,5,2,M
18,18,Yatan Merchant,31,2,2,4,M
19,19,Zaid Bahl,25,10,1,3,F
20,20,Urmi Wagle,26,10,6,4,M
21,21,Daksh Kanda,68,2,7,3,M
22,22,Gautam Bhalla,38,5,7,5,M
23,23,Manbir Dhar,58,8,1,5,F
24,24,Chasmum Naidu,63,10,4,5,F
25,25,Bachittar Gopal,45,7,3,2,M
26,26,Sanya Apte,65,10,5,3,F
27,27,Raksha Saini,70,5,4,1,F
28,28,Naveen Borde,50,1,2,3,F
29,29,Nimrat Zachariah,27,3,1,4,M
30,30,Ryan Chatterjee,44,4,3,2,M
31,31,Vrinda Lanka,59,7,2,5,F
32,32,Hemangini Sachdev,52,7,5,4,T
33,33,Bakhshi Thakkar,69,3,2,1,M
34,34,Farhan Saran,25,9,1,1,M
35,35,Mason Divan,66,7,2,2,M
36,36,Amruta Pradhan,47,10,6,1,M
37,37,Saanvi Nagi,62,7,4,3,F
38,38,Oscar Hans,51,6,2,4,F
39,39,Kashish Suresh,53,6,4,2,M
40,40,Yochana Bahri,56,10,1,4,M
41,41,Chasmum Verma,28,2,7,2,M
42,42,Advika Misra,28,3,5,3,M
43,43,Ranveer Oza,34,5,7,5,M
44,44,Garima Prabhu,24,9,5,1,M
45,45,Diya Gole,60,9,3,3,M
46,46,Pushti Raval,31,9,5,3,F
47,47,Yuvraj Kara,18,4,7,5,M
48,48,Vrishti Parmer,60,4,1,3,F
49,49,Chanakya Chokshi,25,1,2,5,M
50,50,Samesh Andra,52,8,2,4,M
51,51,Ishaan Cherian,40,4,5,4,F
52,52,Ganga Keer,67,4,7,5,F
53,53,Aahana Kashyap,31,1,4,1,M
54,54,Dhriti Sandhu,23,4,7,1,F
55,55,Mugdha Shan,29,6,2,1,F
56,56,Pratyush Raghavan,69,7,5,4,T
57,57,Rachita Kothari,43,10,6,2,F
58,58,Noah Borde,65,7,4,2,M
59,59,Sara Chakrabarti,20,1,1,5,F
60,60,Yashoda Jhaveri,19,8,3,4,F
61,61,Bishakha Vig,44,5,2,2,M
62,62,Hamsini Chokshi,52,6,1,4,F
63,63,Rachita Subramanian,33,6,5,4,M
64,64,Sneha Deol,41,1,1,4,F
65,65,Omisha Walla,50,9,7,2,F
66,66,Zashil Dhingra,24,9,4,1,F
67,67,Dhriti Bhagat,72,8,7,5,M
68,68,Krishna Baria,75,1,2,3,M
69,69,Thomas Gour,54,6,6,2,M
70,70,Garima Patel,56,2,7,1,M
71,71,Sanaya Khosla,72,2,3,4,M
72,72,Reyansh Nagi,66,8,5,2,M
73,73,Arjun Sharaf,39,4,6,5,F
74,74,Abeer Bhatnagar,44,8,1,4,M
75,75,Megha Balasubramanian,57,9,3,1,M
76,76,Frederick Mody,35,7,5,2,F
