AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Advik Patel,56,M,A1
2,2,Balveer Bhasin,21,M,A1
3,2,Yashawini Mangat,63,M,A2
4,3,Dayita Brar,20,M,A1
5,3,Nachiket Yadav,49,F,A2
6,4,Dayamai Gill,26,F,A1
7,4,Advik Devan,46,M,A2
8,5,Jacob Balan,60,F,A1
9,5,Pushti Magar,31,M,A2
10,6,Christopher Tata,32,M,A1
11,7,Yashodhara Agate,35,M,A1
12,8,Yuvraj Saha,54,F,A1
13,8,Anika Brahmbhatt,55,M,A2
14,8,Jagdish Thakkar,55,F,A3
15,8,Praneel Kapoor,25,F,A4
16,9,Daksha Kibe,62,F,A1
17,9,Jyoti Tak,56,M,A2
18,9,Yatan Dora,28,M,A3
19,10,Hemang Jha,35,F,A1
20,10,Oni Swamy,27,M,A2
21,10,Lucky Mammen,31,M,A3
22,10,Caleb Kata,33,M,A4
23,11,Bishakha Lal,21,F,A1
24,11,Maya Narain,51,M,A2
25,11,Sneha Magar,26,M,A3
26,11,Falan Jain,68,F,A4
27,12,Ishita Johal,18,M,A1
28,13,Yuvraj Parekh,38,M,A1
29,13,Yochana Bawa,39,F,A2
30,14,Girindra Shere,40,M,A1
31,14,Logan Dara,16,M,A2
32,15,Frado Lad,64,M,A1
33,16,Garima Das,65,M,A1
34,16,Triya Bedi,51,M,A2
35,16,Rachita Rana,16,F,A3
36,17,Sanaya Dixit,32,M,A1
37,18,Laksh Saini,45,F,A1
38,19,Lipika Madan,46,M,A1
39,19,Atharv Nagar,19,M,A2
40,19,Ayushman Mand,42,F,A3
41,20,Yug Khosla,27,M,A1
42,21,Ayaan Pandey,33,M,A1
43,21,Raghav Tailor,34,M,A2
44,21,Parth Swaminathan,33,F,A3
45,22,Kalpit Oak,18,M,A1
46,22,Ekiya Bhargava,18,M,A2
47,23,Meghana Chaudhuri,32,F,A1
48,24,Damyanti Menon,52,F,A1
49,24,Peter Agarwal,40,F,A2
50,25,Wazir Palan,16,M,A1
51,25,Oliver Chakrabarti,24,M,A2
52,26,Inaya Kunda,18,M,A1
53,26,Aarav Bava,34,M,A2
54,27,Siya Borah,56,M,A1
55,27,Chaitaly Bahri,48,F,A2
