VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Wridesh Tata,33,M,0
2,2,Jasmit Gera,59,M,0
3,2,Elijah Badal,73,M,0
4,2,Akshay Lala,58,M,0
5,3,Michael Mall,22,M,0
6,4,Rajeshri Khare,62,F,0
7,4,Yash Chadha,36,M,0
8,4,Jack Setty,7,F,0
9,5,Zansi Lad,20,M,0
10,5,Kamya Date,57,M,0
11,6,Tamanna Vaidya,68,M,0
12,7,Harshil D’Alia,51,M,0
13,8,Urmi Patla,35,F,0
14,8,Mason Gola,66,F,0
15,8,Oni Kapur,6,M,0
16,9,Barkha Mukhopadhyay,60,F,0
17,9,Gabriel Shan,73,F,0
18,9,Jyoti Iyer,59,M,0
19,10,Hiral Andra,52,M,0
20,10,Aarav Puri,48,M,0
21,11,Girish Tiwari,16,M,0
22,11,Meera Borde,46,F,0
23,11,Radhika De,16,M,0
24,12,Nitesh Sengupta,9,M,0
25,12,Dipta Ray,42,F,0
26,13,Jagdish Chana,51,M,0
27,13,Daksha Baria,77,F,0
28,13,Falak Divan,81,F,0
29,14,Nidhi Sethi,21,F,0
30,15,Rudra Rattan,66,M,0
31,16,Sachi Dave,41,M,1
32,17,Orinder Pandya,46,F,0
33,17,Rachit Maharaj,1,F,0
34,18,Nisha Srinivas,78,F,0
35,18,Gagan Mammen,57,F,0
36,19,Jagrati Srinivasan,49,M,0
37,19,Hemangini Thakkar,82,M,0
38,20,Viraj Dutta,48,M,0
39,21,Isha Ghose,78,M,0
40,21,Warjas Nadkarni,32,F,0
41,22,Theodore Bahri,53,M,0
42,22,Aadi Narula,75,M,0
43,23,Janya Bora,79,M,0
44,24,Nakul Sarkar,51,F,0
45,24,Edhitha Ghosh,4,M,0
46,24,Udant Gill,84,M,0
47,25,Timothy Chawla,21,M,0
48,25,Lohit Narula,20,F,0
49,26,Shaurya Krish,28,M,0
50,27,Odika Tailor,24,F,0
51,27,Indali Prashad,47,F,0
52,27,Varenya Kar,57,M,0
53,28,Hamsini Subramanian,79,M,0
54,28,Raagini Gala,10,M,0
55,28,Naksh Bera,63,M,0
56,29,Baghyawati Mishra,34,M,0
57,29,Gopal Bawa,25,F,0
58,29,Vritti Dube,1,F,0
59,30,Samuel Garde,22,M,0
60,30,Finn Solanki,20,M,0
61,31,Lila Goyal,24,M,0
62,31,Lakshmi Pingle,43,F,0
63,31,Sanaya Basu,4,F,0
64,32,Darsh Ram,14,F,0
65,32,Vaishnavi Keer,42,M,0
66,33,Jai Sen,9,M,0
67,34,Manbir Kuruvilla,3,F,0
68,34,Ekalinga Chahal,1,M,0
69,35,Hitesh Chaudhuri,27,F,0
70,35,Hemangini Roy,50,F,0
71,35,Leela Sunder,27,M,0
72,36,Geetika Mitter,3,M,0
73,36,Avni Swamy,64,M,0
74,37,Omaja Chakraborty,22,M,0
75,37,Riya Kakar,13,M,0
76,38,Dalbir Krish,14,T,0
77,38,Tanmayi Bedi,75,M,0
78,38,Rushil Mahal,41,M,0
79,39,Peter Som,2,M,0
80,39,Hemangini Gade,45,F,0
81,40,Urvi Deo,55,M,0
82,40,Abhiram Kapur,48,M,0
83,40,Dalaja Maharaj,49,M,0
84,41,Harsh Amble,11,F,1
85,41,Barkha Misra,45,M,0
86,42,Mason Varughese,41,M,0
87,42,Dakshesh Raval,65,M,0
88,43,Vamakshi Parmer,66,M,0
89,43,Onkar Golla,16,M,0
90,44,Chaitaly Sheth,38,M,0
91,44,Upma Bera,12,F,0
92,44,Urmi Hayer,49,F,0
93,45,Vinaya Natarajan,66,F,0
94,45,Dhriti Bhardwaj,79,F,0
95,46,Vansha Rajagopal,11,M,0
96,46,Baljiwan Walla,63,F,0
97,46,Kashvi Atwal,44,M,0
98,47,Devika Dayal,40,M,0
99,47,Leela Thakur,45,M,0
100,47,Oliver Bhattacharyya,6,M,0
101,48,Nitesh Raval,63,M,0
102,48,Vedant Kapur,15,M,0
103,49,Chanakya D’Alia,28,M,0
104,50,Osha Chaudhuri,3,F,0
105,50,Laksh Sahota,71,F,0
106,51,Rushil Iyengar,51,M,0
107,52,Agastya Chakraborty,79,M,0
108,53,Chaman Lalla,84,M,0
109,53,Chandresh Chaudhry,20,F,0
110,54,Girish Bath,14,M,0
111,55,Lekha Sridhar,24,M,0
112,56,Ayush De,78,F,0
113,56,Vinaya Chowdhury,33,M,0
114,56,Ridhi Batra,66,F,0
115,57,Hiral Rajan,36,M,0
116,57,Chatura Apte,35,M,0
117,58,Ekani Khosla,67,M,1
118,58,Arunima Bedi,73,T,0
119,58,Kritika Rau,16,M,0
120,59,Sanya Mutti,29,M,0
121,59,Widisha Badami,13,F,0
122,59,Netra Sachar,58,M,0
123,60,Harita Patla,37,M,0
124,60,Udant Sha,52,M,0
125,60,Urvashi Patla,7,M,0
126,61,Hitesh Bath,38,M,1
127,61,Waida Dey,72,F,0
128,62,Chakradhar Dasgupta,29,F,0
129,62,Tanvi Thaman,34,M,0
